artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Esoteric,Subconcious Dissolution Into T,Grey Day,"Esoteric, Grey Day",spotify:track:3TUmrOzMS1bCnGXK82ZK50,3TUmrOzMS1bCnGXK82ZK50,birmingham metal|doom metal|funeral doom|uk doom metal,metal,spotify:track:3TUmrOzMS1bCnGXK82ZK50,6.32E-05,0.0701,0.537,0.895,0.197,-7.391,0.0502,0.35441853,0.0598
[unknown],Hijack Stories,Fool,"[unknown], Fool",spotify:track:1Hk9rpGcWcY0OWfJGZP55t,1Hk9rpGcWcY0OWfJGZP55t,dmv rap|vapor trap,rap,spotify:track:1Hk9rpGcWcY0OWfJGZP55t,0.019,0.731,0.661,3.22E-06,0.15,-5.307,0.307,0.594204781,0.705
Armin van Buuren,10 Years (Disc 1),Love You More,"Armin van Buuren, Love You More",spotify:track:1XoJ9ITIpZ53EQFS8cxLpu,1XoJ9ITIpZ53EQFS8cxLpu,dutch trance|edm|progressive house|trance,edm,spotify:track:1XoJ9ITIpZ53EQFS8cxLpu,0.000126,0.44,0.884,0.0136,0.0691,-7.729,0.0381,0.61813727,0.079
Justice System,Mobilization,Girlfriend,"Justice System, Girlfriend",spotify:track:1PYQlck92XSts7bcADJORp,1PYQlck92XSts7bcADJORp,jazz rap,jazz|rap,spotify:track:1PYQlck92XSts7bcADJORp,0.385,0.622,0.602,0.00035,0.111,-7.846,0.111,0.354028837,0.389
Fell Far Behind,Reaching The Red Line,Coming Down,"Fell Far Behind, Coming Down",spotify:track:7f0OwYBwB019vDlWN7I77a,7f0OwYBwB019vDlWN7I77a,deep pop emo,pop,spotify:track:7f0OwYBwB019vDlWN7I77a,0.00497,0.49,0.93,0.0144,0.353,-4.977,0.103,0.804634204,0.301
Future Smile,Future Trance Vol. 1 CD 2,Memories,"Future Smile, Memories",spotify:track:1SagHvQrVIg9bf66fcdKtP,1SagHvQrVIg9bf66fcdKtP,boston hip hop,hip hop,spotify:track:1SagHvQrVIg9bf66fcdKtP,0.152,0.679,0.663,0.000103,0.226,-5.979,0.114,0.609210179,0.21
The Galactic Heroes,How About San Francisco?,Cherokee,"The Galactic Heroes, Cherokee",spotify:track:2uwLZYGhTy9tE1keREi6rj,2uwLZYGhTy9tE1keREi6rj,twee pop,pop,spotify:track:2uwLZYGhTy9tE1keREi6rj,0.0705,0.305,0.645,0.0153,0.282,-10.082,0.0643,0.838197023,0.898
Flying Lotus,Raw Cartoons,2,"Flying Lotus, 2",spotify:track:4D1EDKIajYm3807qP09RXU,4D1EDKIajYm3807qP09RXU,afrofuturism|alternative hip hop|electronica|escape room|experimental hip hop|glitch|glitch hop|hip hop|indietronica|intelligent dance music|jazztronica|psychedelic hip hop|wonky,hip hop|electronica|dance|jazz|indie,spotify:track:4D1EDKIajYm3807qP09RXU,0.46,0.598,0.771,0.947,0.128,-7.536,0.0426,0.626168517,0.799
Stormlord,The Curse Of Medusa,Creeping Death,"Stormlord, Creeping Death",spotify:track:2P73w08F5xsaveJPoVgeYv,2P73w08F5xsaveJPoVgeYv,folk metal|italian black metal|italian metal|symphonic black metal|symphonic death metal|viking metal,metal|folk,spotify:track:2P73w08F5xsaveJPoVgeYv,3.91E-05,0.369,0.95,0.716,0.827,-5.6,0.109,0.490497328,0.145
Alt-J,An Awesome Wave,Ms,"Alt-J, Ms",spotify:track:5BYM7kPm0WCTUmF7K30RI2,5BYM7kPm0WCTUmF7K30RI2,indie rock|modern rock,rock|indie,spotify:track:5BYM7kPm0WCTUmF7K30RI2,0.88,0.588,0.411,0.0261,0.0736,-11.472,0.0356,0.586778229,0.0618
